;X;sh;phylum;class;order;family;genus;species
85;47426;AF113415.1.1762;Mucoromycotina;Mucorales;Mucorales;Chlamydoabsidia;Chlamydoabsidia;Chlamydoabsidia padenii
86;47450;AF157145.1.1719;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella verticillata
87;47505;AF157156.1.1770;Mucoromycotina;Mucorales;Mucorales;Protomycocladus faisalabadensis;Protomycocladus;Protomycocladus faisalabadensis
88;47535;AF007538.1.1753;Kickxellomycotina;Kickxellales;Kickxellales;Linderina;Linderina;Linderina pennispora
89;47579;AF113428.1.1759;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor hiemalis f. hiemalis
90;47607;AF157128.1.1740;Mucoromycotina;Mucorales;Mucorales;Circinella;Circinella;Circinella umbellata
91;47751;AF157131.1.1756;Mucoromycotina;Mucorales;Mucorales;Dichotomocladium;Dichotomocladium;Dichotomocladium elegans
92;47787;AF157140.1.1728;Mucoromycotina;Mucorales;Mucorales;Hesseltinella;Hesseltinella;Hesseltinella vesiculosa
93;47821;AF157148.1.1750;Mucoromycotina;Mucorales;Mucorales;Mycotypha;Mycotypha;Mycotypha microspora
94;47824;AF113407.1.1771;Mucoromycotina;Mucorales;Mucorales;Lichtheimia;Lichtheimia;Lichtheimia corymbifera
95;47881;AF157170.1.1750;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor heterogamus
96;48215;AF157126.1.1754;Mucoromycotina;Mucorales;Mucorales;Chaetocladium;Chaetocladium;Chaetocladium jonesii
97;48235;AF113421.1.1771;Mucoromycotina;Mucorales;Mucorales;Cunninghamella;Cunninghamella;Cunninghamella bertholletiae
98;48496;AF052404.1.1691;Entomophthoromycotina;Entomophthorales;Entomophthorales;Zoophthora;Zoophthora;Zoophthora radicans
99;48516;AF113430.1.1760;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor racemosus
100;48529;AF113442.1.1751;Mucoromycotina;Mucorales;Mucorales;Saksenaea vasiformis;Saksenaea;Saksenaea vasiformis
101;48585;AF113405.1.1765;Mucoromycotina;Mucorales;Mucorales;Absidia;Absidia;Absidia caerulea
102;48616;AF113433.1.1706;Mucoromycotina;Mucorales;Mucorales;Rhizomucor;Rhizomucor;Rhizomucor pusillus
103;48658;AF007536.1.1901;Kickxellomycotina;Harpellales;Harpellales;Genistelloides;Genistelloides;Genistelloides hibernus
104;48796;AF157146.1.1741;Mucoromycotina;Mucorales;Mucorales;Backusella;Backusella;Backusella indica
105;48873;AF157167.1.1740;Mucoromycotina;Umbelopsidales;Umbelopsidales;Umbelopsis;Umbelopsis;Umbelopsis nana
106;48947;AF157117.1.1794;Mucoromycotina;Mucorales;Mucorales;Lichtheimia;Lichtheimia;Lichtheimia blakesleeana
107;49159;AF157134.1.1746;Mucoromycotina;Mucorales;Mucorales;Ellisomyces;Ellisomyces;Ellisomyces anomalus
108;49184;AF113412.1.1761;Mucoromycotina;Mucorales;Mucorales;Apophysomyces elegans;Apophysomyces;Apophysomyces elegans
109;49195;AF157133.1.1721;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Dissophora;Dissophora decumbens
110;49214;AF157136.1.1750;Mucoromycotina;Mucorales;Mucorales;Gilbertella;Gilbertella;Gilbertella persicaria
111;49270;AF157150.1.1742;Mucoromycotina;Mucorales;Mucorales;Phascolomyces;Phascolomyces;Phascolomyces articulosus
112;49391;AF139733.1.1329;Glomeromycotina;Glomerales;Glomerales;Funneliformis;Funneliformis;Funneliformis cf. geosporum W2538
113;49515;AF157119.1.1753;Mucoromycotina;Mucorales;Mucorales;Actinomucor;Actinomucor;Actinomucor elegans
114;49754;AF157143.1.1727;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella chlamydospora
115;49786;AF157154.1.1755;Mucoromycotina;Mucorales;Mucorales;Pirella;Pirella;Pirella circinans
116;49819;AF157165.1.1752;Mucoromycotina;Mucorales;Mucorales;Thermomucor;Thermomucor;Thermomucor indicae-seudaticae
117;49871;AF157163.1.1754;Mucoromycotina;Mucorales;Mucorales;Thamnidium;Thamnidium;Thamnidium elegans
118;49887;AF157166.1.1745;Mucoromycotina;Umbelopsidales;Umbelopsidales;Umbelopsis;Umbelopsis;Umbelopsis isabellina
119;49945;AF157138.1.1766;Mucoromycotina;Mucorales;Mucorales;Halteromyces;Halteromyces;Halteromyces radiatus
120;50101;AF277044.1.1861;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium fecundum
121;50184;AF113417.1.1694;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus coronatus
122;50203;AF113420.1.1794;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus lamprauges
123;50218;AF277025.1.1836;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium phytotelmatum
124;50237;AF277045.1.1864;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium megazygosporum
125;50634;AF157162.1.1746;Mucoromycotina;Mucorales;Mucorales;Syzygites;Syzygites;Syzygites megalocarpus
126;50750;AF164245.1.1743;Incertae Sedis;Spizellomycetales;Spizellomycetales;Powellomyces sp. JEL95;Powellomyces;Powellomyces sp. JEL95
127;50884;AF113416.1.1757;Mucoromycotina;Mucorales;Mucorales;Cokeromyces;Cokeromyces;Cokeromyces recurvatus
128;50923;AF277023.1.1858;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium cf. dipterorum
129;51059;AF277022.1.1853;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium cf. phytotelmatum
130;51071;AF277037.1.1886;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium gravimetallum
131;51143;AF141970.1.1837;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucorales;Mucorales sp. AH-1999a
132;51251;AF157158.1.1746;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus microsporus var. oligosporus
133;51501;AF157147.1.1751;Mucoromycotina;Mucorales;Mucorales;Mycotypha;Mycotypha;Mycotypha africana
134;51529;AF113441.1.1752;Mucoromycotina;Mucorales;Mucorales;Rhizopus;Rhizopus;Rhizopus stolonifer
135;51561;AF157169.1.1741;Mucoromycotina;Mucorales;Mucorales;Zychaea;Zychaea;Zychaea mexicana
136;51877;AF277047.1.1898;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium culicis
137;51936;AF141969.1.1838;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucorales;Mucorales sp. AH-1999b
138;51959;AF085467.1.1753;Ascomycota;Lecanoromycetes;Teloschistales;;Leprocaulon;Leprocaulon sp. DePriest 8134
139;52002;AF157130.1.1766;Mucoromycotina;Mucorales;Mucorales;Cunninghamella;Cunninghamella;Cunninghamella echinulata
140;52082;AF157159.1.1750;Mucoromycotina;Mucorales;Mucorales;Spinellus;Spinellus;Spinellus fusiger
141;52111;AF157168.1.1739;Mucoromycotina;Mucorales;Mucorales;Utharomyces;Utharomyces;Utharomyces epallocaulus
142;52114;AF157152.1.1756;Mucoromycotina;Mucorales;Mucorales;Pilaira;Pilaira;Pilaira anomala
143;52121;AF113409.1.1765;Mucoromycotina;Mucorales;Mucorales;Absidia;Absidia;Absidia glauca
144;52246;AF164253.1.1776;Incertae Sedis;Lobulomycetales;Lobulomycetales;Lobulomyces;Lobulomyces;Lobulomyces angularis
145;52286;AF157153.1.1757;Mucoromycotina;Mucorales;Mucorales;Pilobolus;Pilobolus;Pilobolus umbonatus
146;52297;AF157160.1.1743;Mucoromycotina;Mucorales;Mucorales;Sporodiniella;Sporodiniella;Sporodiniella umbellata
147;52308;AF157164.1.1742;Mucoromycotina;Mucorales;Mucorales;Thamnostylum;Thamnostylum;Thamnostylum piriforme
148;52445;AF277016.1.1822;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium imitatum
149;52559;AF157127.1.1751;Mucoromycotina;Mucorales;Mucorales;Choanephora;Choanephora;Choanephora cucurbitarum
150;52811;AF277043.1.1827;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium tipulidarum
151;52919;AF280632.1.2152;Ascomycota;Sordariomycetes;Hypocreales;;Metarhizium;Metarhizium minus
152;52944;AF277005.1.1790;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium angustum
153;52945;AF164247.1.1763;Incertae Sedis;Spizellomycetales;Spizellomycetales;Gaertneriomyces;Gaertneriomyces;Gaertneriomyces semiglobifer
154;52963;AF277030.1.1913;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium mucronatum
155;53009;AF277013.1.1761;Kickxellomycotina;Harpellales;Harpellales;Furculomyces boomerangus;Furculomyces;Furculomyces boomerangus
156;53047;AF277040.1.1827;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium orthocladii
157;53697;AF113427.1.1728;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor circinelloides f. lusitanicus
158;53857;AF139732.1.1330;Glomeromycotina;Glomerales;Glomerales;Claroideoglomus;Claroideoglomus;Claroideoglomus claroideum
159;54256;AF277017.1.1825;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium cylindrosporum
160;54280;AF277046.1.1815;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium simulii
161;54353;AF157135.1.1735;Mucoromycotina;Mucorales;Mucorales;Fennellomyces;Fennellomyces;Fennellomyces linderi
162;54418;AF157161.1.1791;Mucoromycotina;Mucorales;Mucorales;Syncephalastrum;Syncephalastrum;Syncephalastrum monosporum var. pluriproliferum
163;54686;AF296754.1.1741;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus lamprauges
164;54909;AF277018.1.1826;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium cylindrosporum
165;54919;AF277014.1.1962;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium morbosum
166;54946;AF277041.1.2013;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium coloradense
167;55104;AF277021.1.1828;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium imitatum
168;55123;AF277035.1.1834;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium commune
169;55170;AF368513.1.1857;Entomophthoromycotina;Entomophthorales;Entomophthorales;Erynia;Erynia;Erynia conica
170;55278;AF157125.1.1757;Mucoromycotina;Mucorales;Mucorales;Chaetocladium;Chaetocladium;Chaetocladium brefeldii
171;55355;AF157142.1.1750;Mucoromycotina;Mucorales;Mucorales;Kirkomyces cordense;Kirkomyces;Kirkomyces cordense
172;55902;AF368511.1.1780;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus pumilus
173;56250;AF334914.1.1789;Basidiomycota;Agaricomycetes;Polyporales;;Grifola;Grifola frondosa
174;56698;AF368512.1.1787;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus rhysosporus
175;56719;AF368521.1.1852;Entomophthoromycotina;Entomophthorales;Entomophthorales;Pandora;Pandora;Pandora delphacis
176;56901;AF277031.1.1860;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium caudatum
177;57030;AF296755.1.1797;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora thripidum
178;57042;AF368516.1.1858;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora culicis
179;57392;AF368523.1.1829;Entomophthoromycotina;Basidiobolales;Basidiobolales;Schizangiella;Schizangiella;Schizangiella serpentis
180;57882;AF368517.1.1863;Entomophthoromycotina;Entomophthorales;Entomophthorales;Eryniopsis;Eryniopsis;Eryniopsis caroliniana
181;58163;AF368514.1.1846;Entomophthoromycotina;Entomophthorales;Entomophthorales;Erynia;Erynia;Erynia rhizospora
182;58184;AF368525.1.1844;Entomophthoromycotina;Entomophthorales;Entomophthorales;Zoophthora;Zoophthora;Zoophthora occidentalis
183;58444;AF277004.1.1828;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium tronadorium
184;58462;AF277028.1.1864;Kickxellomycotina;Harpellales;Harpellales;Smittium;Smittium;Smittium culicisoides
185;59337;AF368510.1.1847;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus osmodes
186;59492;AF368524.1.1844;Entomophthoromycotina;Entomophthorales;Entomophthorales;Zoophthora;Zoophthora;Zoophthora anglica
187;59776;AF368515.1.1853;Entomophthoromycotina;Entomophthorales;Entomophthorales;Erynia;Erynia;Erynia sciarae
188;59918;AF353723.1.1800;Entomophthoromycotina;Entomophthorales;Entomophthorales;Entomophthora;Entomophthora;Entomophthora planchoniana
189;60383;AF368506.1.1766;Entomophthoromycotina;Entomophthorales;Entomophthorales;Conidiobolus;Conidiobolus;Conidiobolus brefeldianus
190;61118;AF480157.1.1779;Glomeromycotina;uncultured;Glomerales;;Glomus;Glomus sp. 5014b24.Llao5
191;61628;AF351134.1.1810;Entomophthoromycotina;Entomophthorales;Entomophthorales;Furia;Furia;Furia ithacensis
192;63426;AF368522.1.1850;Entomophthoromycotina;Entomophthorales;Entomophthorales;Pandora;Pandora;Pandora dipterigena
193;63876;AF007533.1.1838;Kickxellomycotina;Kickxellales;Kickxellales;Coemansia;Coemansia;Coemansia reversa
194;65180;AB468628.1.1320;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;uncultured;uncultured fungus
195;65243;AB468671.1.1322;Incertae Sedis;Rhizophydiales;Rhizophydiales;Rhizophydium;uncultured;uncultured fungus
196;65813;AJ301858.1.1766;Glomeromycotina;Glomerales;Glomerales;Funneliformis;Funneliformis;Funneliformis verruculosum
197;66329;AJ306441.1.1769;Glomeromycotina;Diversisporales;Diversisporales;Acaulospora;Acaulospora;Acaulospora sp. WUM18
198;66853;AJ301859.1.1764;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus irregularis
199;66865;AJ271061.592.2420;Mucoromycotina;Mucorales;Mucorales;Mucor;Mucor;Mucor racemosus
200;66990;AJ276092.1.1682;Glomeromycotina;Diversisporales;Diversisporales;Scutellospora;Scutellospora;Scutellospora aurigloba
201;67254;AJ306442.1.1770;Glomeromycotina;Diversisporales;Diversisporales;Acaulospora;Acaulospora;Acaulospora cavernata
202;67354;AJ306439.1.1768;Glomeromycotina;Diversisporales;Diversisporales;Acaulospora;Acaulospora;Acaulospora longula
203;67671;AJ276088.1.1769;Glomeromycotina;Diversisporales;Diversisporales;Diversispora;Diversispora;Diversispora epigaea
204;67725;AJ242729.1.1757;Glomeromycotina;Diversisporales;Diversisporales;Scutellospora;Scutellospora;Scutellospora projecturata
205;68838;AJ301857.1.1765;Glomeromycotina;Glomerales;Glomerales;Glomus;Glomus;Glomus sp. W3347
206;69287;AJ306440.1.1769;Glomeromycotina;Diversisporales;Diversisporales;Acaulospora;Acaulospora;Acaulospora sp. W3424
207;69684;AJ271630.1.1257;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella alpina
208;69897;AJ306444.1.1757;Glomeromycotina;Diversisporales;Diversisporales;Racocetra;Racocetra;Racocetra weresubiae
209;70172;AJ271629.1.1257;Mortierellomycotina;Mortierellales;Mortierellales;Mortierella;Mortierella;Mortierella alpina
210;70253;AJ276084.1.1762;Glomeromycotina;Glomerales;Glomerales;Rhizophagus;Rhizophagus;Rhizophagus clarus
211;70291;AJ306436.1.1756;Glomeromycotina;Diversisporales;Diversisporales;Cetraspora;Cetraspora;Cetraspora nodosa
212;70306;AJ301865.1.1767;Glomeromycotina;Glomerales;Glomerales;Funneliformis;Glomus;Glomus sp. WUM3
213;70379;AJ306434.1.1757;Glomeromycotina;Diversisporales;Diversisporales;Dentiscutata;Dentiscutata;Dentiscutata heterogama
214;70687;AJ619955.1.1768;Glomeromycotina;Diversisporales;Diversisporales;Pacispora scintillans;Pacispora;Pacispora scintillans
215;71204;AF157124.1.1797;Mucoromycotina;Mucorales;Mucorales;Blakeslea;Blakeslea;Blakeslea trispora
216;71241;AJ276093.1.1683;Glomeromycotina;Diversisporales;Diversisporales;Scutellospora;Scutellospora;Scutellospora aurigloba
217;71309;AF157151.1.1753;Mucoromycotina;Mucorales;Mucorales;Phycomyces;Phycomyces;Phycomyces blakesleeanus
218;71347;AF157157.1.1761;Mucoromycotina;Mucorales;Mucorales;Radiomyces spectabilis;Radiomyces;Radiomyces spectabilis
219;71714;AJ852603.1.1739;Glomeromycotina;Diversisporales;Diversisporales;Gigaspora;Gigaspora;Gigaspora margarita
